,faithfulness,naturalness,score,motion,motion_index,selected
33,0.4382,0.2696,0.1181,Someone_springs_up_off_the_ground,76,False
34,0.3042,0.3885,0.1182,Someone_springs_up_off_the_ground,1,False
35,0.3394,0.3486,0.1183,Someone_springs_up_off_the_ground,15,False
36,0.3152,0.3754,0.1183,An_individual_reaches_down_to_their_toes_and_stands_up_straight,31,False
37,0.315,0.3756,0.1183,A_person_raises_a_knee_to_their_chest,56,False
38,0.3783,0.3135,0.1186,A_person_bends_their_leg_and_raises_their_knee_to_their_chest,25,False
39,0.3575,0.3323,0.1188,Someone_rolls_forward_and_gets_up,76,False
40,0.2648,0.4489,0.1189,A_person_raises_a_knee_to_their_chest,36,False
41,0.2883,0.4136,0.1193,A_person_raises_a_knee_to_their_chest,76,False
42,0.3834,0.3113,0.1193,Someone_rolls_forward_and_gets_up,2,False
43,0.5176,0.2309,0.1195,Someone_springs_up_off_the_ground,33,False
44,0.2731,0.4383,0.1197,A_person_lifts_their_knee_to_their_chest,83,False
45,0.2706,0.4432,0.1199,An_individual_raises_a_knee_towards_their_chest,36,False
46,0.3257,0.3706,0.1207,A_person_lifts_their_knee_to_their_chest,85,False
47,0.3028,0.3997,0.121,An_individual_touches_their_toes_and_returns_to_a_standing_position,34,False
48,0.3065,0.3964,0.1215,A_person_raises_a_knee_to_their_chest,1,False
49,0.4614,0.2639,0.1218,An_individual_reaches_down_to_their_toes_and_stands_up_straight,74,False
50,0.2832,0.4321,0.1224,A_person_raises_a_knee_to_their_chest,48,False
51,0.3167,0.3869,0.1226,Someone_moves_forward_by_rolling_and_then_stands,51,False
52,0.3759,0.3266,0.1228,An_individual_lifts_a_knee_up_to_their_chest,91,False
53,0.3462,0.3548,0.1228,Someone_rolls_forward_and_gets_up,93,False
54,0.2768,0.4443,0.123,A_person_raises_a_knee_to_their_chest,70,False
55,0.3359,0.3664,0.123,A_person_lifts_their_knee_to_their_chest,0,False
56,0.2901,0.4259,0.1235,A_person_raises_a_knee_to_their_chest,24,False
57,0.2986,0.4135,0.1235,A_person_stretches_to_touch_their_toes_and_then_rises,54,False
58,0.2751,0.4494,0.1236,A_person_raises_a_knee_to_their_chest,47,False
59,0.3944,0.314,0.1238,A_person_brings_their_knee_in_towards_their_chest,56,False
60,0.322,0.3858,0.1242,A_person_reaches_for_their_toes_and_gets_back_up,57,False
61,0.2935,0.4237,0.1244,A_person_stretches_to_touch_their_toes_and_then_rises,64,False
62,0.3165,0.3933,0.1245,A_person_lifts_their_knee_to_their_chest,75,False
63,0.3891,0.3212,0.125,Someone_elevates_their_knee_to_their_chest,57,False
64,0.3292,0.3801,0.1251,Someone_moves_forward_by_rolling_and_then_stands,37,False
65,0.4365,0.2872,0.1254,Someone_springs_up_off_the_ground,67,False
66,0.3072,0.4084,0.1255,A_person_lifts_their_knee_to_their_chest,16,False
67,0.2871,0.4388,0.126,A_person_raises_a_knee_to_their_chest,73,False
68,0.3307,0.3826,0.1265,Someone_moves_forward_by_rolling_and_then_stands,21,False
69,0.3064,0.4132,0.1266,An_individual_touches_their_toes_and_returns_to_a_standing_position,27,False
70,0.3769,0.3362,0.1267,Someone_rolls_forward_and_stands_up,74,False
71,0.2797,0.4534,0.1268,A_person_raises_a_knee_to_their_chest,33,False
72,0.2978,0.4278,0.1274,A_person_lifts_their_knee_to_their_chest,3,False
73,0.3831,0.3326,0.1274,Someone_springs_up_off_the_ground,12,False
74,0.289,0.4407,0.1274,A_person_raises_a_knee_to_their_chest,18,False
75,0.2972,0.4295,0.1276,A_person_raises_a_knee_to_their_chest,9,False
76,0.2917,0.4381,0.1278,An_individual_touches_their_toes_and_returns_to_a_standing_position,59,False
77,0.3815,0.3361,0.1282,Someone_moves_forward_by_rolling_and_then_stands,61,False
78,0.3046,0.4221,0.1286,A_person_raises_a_knee_to_their_chest,16,False
79,0.3139,0.4099,0.1287,An_individual_goes_down_to_touch_their_toes_and_then_stands_back_up,89,False
80,0.2955,0.4358,0.1288,Someone_pushes_a_large_object,9,False
81,0.3299,0.3903,0.1288,A_person_does_a_forward_roll_and_gets_up,83,False
82,0.335,0.3854,0.1291,An_individual_goes_down_to_touch_their_toes_and_then_stands_back_up,24,False
83,0.411,0.3143,0.1292,Someone_rolls_forward_and_stands_up,7,False
84,0.3318,0.3901,0.1294,A_person_pulls_their_knee_up_to_their_chest,89,False
85,0.3756,0.3451,0.1296,Someone_rolls_forward_and_gets_up,46,False
86,0.3472,0.3737,0.1297,A_person_pulls_their_knee_up_to_their_chest,85,False
87,0.2856,0.455,0.1299,An_individual_goes_down_to_touch_their_toes_and_then_stands_back_up,42,False
88,0.4015,0.3239,0.13,Someone_rolls_forward_and_gets_up,27,False
89,0.3637,0.3583,0.1303,A_person_pulls_their_knee_up_to_their_chest,14,False
90,0.2896,0.4499,0.1303,A_person_claps,54,False
91,0.3633,0.3596,0.1306,Someone_moves_forward_by_rolling_and_then_stands,77,False
92,0.3457,0.3786,0.1308,A_person_pulls_their_knee_up_to_their_chest,22,False
93,0.2904,0.4502,0.1308,A_person_raises_a_knee_to_their_chest,87,False
94,0.2833,0.4618,0.1309,A_person_raises_a_knee_to_their_chest,97,False
95,0.3243,0.4044,0.1311,A_person_raises_a_knee_to_their_chest,37,False
96,0.3792,0.3461,0.1312,Someone_rolls_forward_and_gets_up,24,False
97,0.3249,0.4039,0.1312,An_individual_lifts_a_knee_up_to_their_chest,0,False
98,0.3154,0.4164,0.1313,A_person_raises_a_knee_to_their_chest,41,False
99,0.3254,0.4036,0.1313,Someone_pushes_off_the_ground_and_rises,52,False
100,0.3147,0.4174,0.1313,A_person_rolls_ahead_and_gets_back_on_their_feet,85,False
101,0.2773,0.4735,0.1313,A_person_performs_a_clap,79,False
102,0.3906,0.3366,0.1315,A_person_lifts_their_knee_to_their_chest,55,False
103,0.3601,0.3652,0.1315,Someone_springs_up_off_the_ground,45,False
104,0.3867,0.3404,0.1316,Someone_rolls_forward_and_gets_up,80,False
105,0.3761,0.3503,0.1317,Someone_springs_up_off_the_ground,29,False
106,0.3271,0.4034,0.1319,An_individual_touches_their_toes_and_returns_to_a_standing_position,2,False
107,0.3626,0.3641,0.132,An_individual_touches_their_toes_and_returns_to_a_standing_position,63,False
108,0.317,0.417,0.1322,An_individual_goes_down_to_touch_their_toes_and_then_stands_back_up,27,False
109,0.3148,0.4199,0.1322,A_person_lifts_their_knee_to_their_chest,87,False
110,0.3098,0.427,0.1323,A_person_raises_a_knee_to_their_chest,42,False
111,0.3133,0.4222,0.1323,Someone_elevates_their_knee_to_their_chest,37,False
112,0.325,0.4073,0.1324,A_person_lifts_their_knee_to_their_chest,98,False
113,0.2661,0.4977,0.1324,An_individual_raises_a_knee_towards_their_chest,26,False
114,0.3848,0.3445,0.1325,Someone_rolls_forward_and_gets_up,38,False
115,0.2866,0.4632,0.1327,An_individual_raises_a_knee_towards_their_chest,88,False
116,0.3532,0.3764,0.1329,A_person_brings_their_knee_in_towards_their_chest,3,False
117,0.3207,0.4155,0.1332,Someone_springs_up_off_the_ground,64,False
118,0.4889,0.273,0.1334,An_individual_reaches_down_to_their_toes_and_stands_up_straight,20,False
119,0.3227,0.4134,0.1334,An_individual_lifts_a_knee_up_to_their_chest,23,False
120,0.4034,0.3311,0.1336,Someone_rolls_forward_and_gets_up,48,False
121,0.3594,0.3732,0.1341,A_person_pulls_their_knee_up_to_their_chest,63,False
122,0.3709,0.3616,0.1341,Someone_rolls_forward_and_gets_up,59,False
123,0.2864,0.4698,0.1345,An_individual_goes_down_to_touch_their_toes_and_then_stands_back_up,9,False
124,0.3664,0.3671,0.1345,Someone_moves_forward_by_rolling_and_then_stands,13,False
125,0.2986,0.4508,0.1346,A_person_raises_a_knee_to_their_chest,21,False
126,0.336,0.4004,0.1346,A_person_pushes_an_object_that_is_hard_to_lift,30,False
127,0.3566,0.3779,0.1347,Someone_moves_forward_by_rolling_and_then_stands,40,False
128,0.307,0.4391,0.1348,A_person_raises_a_knee_to_their_chest,61,False
129,0.3494,0.3867,0.1351,A_person_rotates_in_a_pirouette,48,False
130,0.3016,0.4483,0.1352,A_person_raises_a_knee_to_their_chest,54,False
131,0.449,0.3012,0.1352,A_person_reaches_for_their_toes_and_gets_back_up,61,False
132,0.3627,0.3729,0.1352,An_individual_lifts_a_knee_up_to_their_chest,79,False
133,0.3568,0.3799,0.1356,An_individual_goes_down_to_touch_their_toes_and_then_stands_back_up,47,False
134,0.2747,0.4935,0.1356,A_person_raises_a_knee_to_their_chest,94,False
135,0.3003,0.4529,0.136,A_person_raises_a_knee_to_their_chest,31,False
136,0.3961,0.3433,0.136,Someone_springs_up_off_the_ground,6,False
137,0.3811,0.3572,0.1361,A_person_lifts_their_knee_to_their_chest,21,False
138,0.3783,0.36,0.1362,A_person_stretches_to_touch_their_toes_and_then_rises,57,False
139,0.3333,0.4088,0.1363,A_person_lifts_their_knee_to_their_chest,27,False
140,0.3914,0.3486,0.1365,A_person_reaches_for_their_toes_and_gets_back_up,20,False
141,0.3134,0.4357,0.1365,A_person_raises_a_knee_to_their_chest,75,False
142,0.4431,0.3083,0.1366,An_individual_completes_a_pirouette,67,False
143,0.3524,0.3875,0.1366,A_person_lifts_their_knee_to_their_chest,23,False
144,0.3562,0.3841,0.1368,A_person_pulls_their_knee_up_to_their_chest,30,False
145,0.2963,0.4623,0.137,A_person_raises_a_knee_to_their_chest,50,False
146,0.3474,0.395,0.1372,A_person_reaches_for_their_toes_and_gets_back_up,84,False
147,0.3673,0.3738,0.1373,Someone_rolls_forward_and_gets_up,58,False
148,0.443,0.3109,0.1377,An_individual_reaches_down_to_their_toes_and_stands_up_straight,92,False
149,0.3429,0.4015,0.1377,A_person_stretches_to_touch_their_toes_and_then_rises,46,False
150,0.3371,0.4085,0.1377,An_individual_reaches_down_to_their_toes_and_stands_up_straight,75,False
151,0.3922,0.3513,0.1378,Someone_springs_up_off_the_ground,18,False
152,0.4143,0.3326,0.1378,A_person_brings_their_knee_in_towards_their_chest,48,False
153,0.2903,0.4746,0.1378,An_individual_raises_a_knee_towards_their_chest,25,False
154,0.2905,0.4746,0.1379,A_person_raises_a_knee_to_their_chest,20,False
155,0.3368,0.41,0.1381,Someone_pushes_off_the_ground_and_rises,24,False
156,0.336,0.4109,0.1381,A_person_stretches_to_touch_their_toes_and_then_rises,6,False
157,0.2907,0.4753,0.1382,A_person_raises_a_knee_to_their_chest,98,False
158,0.3904,0.3539,0.1382,An_individual_goes_down_to_touch_their_toes_and_then_stands_back_up,52,False
159,0.3183,0.4344,0.1383,A_person_goes_up_into_the_air,2,False
160,0.4791,0.2888,0.1384,Someone_rolls_forward_and_gets_up,41,False
161,0.2813,0.4925,0.1385,An_individual_raises_a_knee_towards_their_chest,8,False
162,0.3775,0.3676,0.1388,A_person_lifts_their_knee_to_their_chest,90,False
163,0.2851,0.487,0.1389,An_individual_raises_a_knee_towards_their_chest,2,False
164,0.3883,0.3579,0.139,An_individual_touches_their_toes_and_returns_to_a_standing_position,48,False
165,0.3926,0.354,0.139,An_individual_reaches_down_to_their_toes_and_stands_up_straight,27,False
166,0.3401,0.409,0.1391,A_person_claps,43,False
167,0.3604,0.3863,0.1392,An_individual_touches_their_toes_and_returns_to_a_standing_position,28,False
168,0.353,0.3946,0.1393,An_individual_touches_their_toes_and_returns_to_a_standing_position,18,False
169,0.3183,0.4375,0.1393,A_person_lifts_their_knee_to_their_chest,2,False
170,0.3826,0.3644,0.1394,Someone_rolls_forward_and_gets_up,68,False
171,0.3641,0.3829,0.1394,Someone_elevates_their_knee_to_their_chest,93,False
172,0.3902,0.3581,0.1397,Someone_touches_their_toes_and_stands_back_up,94,False
173,0.3503,0.399,0.1398,A_person_goes_up_into_the_air,77,False
174,0.3051,0.4587,0.1399,A_person_raises_a_knee_to_their_chest,89,False
175,0.3017,0.4641,0.14,An_individual_raises_a_knee_towards_their_chest,74,False
176,0.4234,0.3313,0.1402,Someone_springs_up_off_the_ground,75,False
177,0.3802,0.3693,0.1404,Someone_springs_up_off_the_ground,58,False
178,0.3257,0.4311,0.1404,A_person_raises_a_knee_to_their_chest,93,False
179,0.3602,0.39,0.1405,A_person_rotates_in_a_pirouette,84,False
180,0.3177,0.4424,0.1406,A_person_lifts_their_knee_to_their_chest,92,False
181,0.3526,0.3989,0.1407,A_person_stretches_to_touch_their_toes_and_then_rises,37,False
182,0.4016,0.3507,0.1408,Someone_rolls_forward_and_gets_up,36,False
183,0.2948,0.4782,0.141,A_person_raises_a_knee_to_their_chest,14,False
184,0.3817,0.3697,0.1411,Someone_performs_a_pirouette,97,False
185,0.3997,0.353,0.1411,Someone_rolls_forward_and_gets_up,0,False
186,0.322,0.4387,0.1412,A_person_raises_a_knee_to_their_chest,13,False
187,0.3497,0.4037,0.1412,A_person_lifts_their_knee_to_their_chest,47,False
188,0.3667,0.3852,0.1412,An_individual_goes_down_to_touch_their_toes_and_then_stands_back_up,33,False
189,0.3699,0.3819,0.1413,A_person_raises_a_knee_to_their_chest,91,False
190,0.4799,0.2946,0.1414,Someone_performs_a_pirouette,77,False
191,0.3497,0.4045,0.1414,An_individual_goes_down_to_touch_their_toes_and_then_stands_back_up,0,False
192,0.3406,0.415,0.1414,Someone_touches_their_toes_and_stands_back_up,10,False
193,0.3811,0.3711,0.1414,A_person_bends_their_leg_and_raises_their_knee_to_their_chest,65,False
194,0.3935,0.3597,0.1415,Someone_moves_forward_by_rolling_and_then_stands,80,False
195,0.3166,0.4476,0.1417,Someone_elevates_their_knee_to_their_chest,40,False
196,0.4114,0.3447,0.1418,Someone_rolls_forward_and_gets_up,4,False
197,0.3503,0.4049,0.1418,An_individual_lifts_a_knee_up_to_their_chest,99,False
198,0.3243,0.4373,0.1418,Someone_moves_forward_by_rolling_and_then_stands,96,False
199,0.3941,0.3601,0.1419,A_person_pushes_an_object_that_is_hard_to_lift,67,False
200,0.4426,0.3208,0.142,Someone_springs_up_off_the_ground,22,False
201,0.3557,0.4002,0.1424,Someone_moves_forward_by_rolling_and_then_stands,70,False
202,0.4704,0.3027,0.1424,Someone_rolls_forward_and_gets_up,34,False
203,0.3504,0.4067,0.1425,Someone_touches_their_toes_and_stands_back_up,6,False
204,0.3772,0.378,0.1426,A_person_pulls_their_knee_up_to_their_chest,77,False
205,0.2803,0.5098,0.1429,An_individual_raises_a_knee_towards_their_chest,75,False
206,0.28,0.5105,0.1429,An_individual_raises_a_knee_towards_their_chest,20,False
207,0.3116,0.4587,0.1429,A_person_raises_a_knee_to_their_chest,35,False
208,0.3592,0.3979,0.1429,Someone_moves_forward_by_rolling_and_then_stands,8,False
209,0.3826,0.374,0.1431,Someone_rolls_forward_and_gets_up,53,False
210,0.3269,0.4377,0.1431,A_person_raises_a_knee_to_their_chest,32,False
211,0.3743,0.3827,0.1432,Someone_springs_up_off_the_ground,44,False
212,0.3612,0.3972,0.1434,Someone_touches_their_toes_and_stands_back_up,83,False
213,0.4293,0.3343,0.1435,Someone_rolls_forward_and_gets_up,73,False
214,0.368,0.3899,0.1435,A_person_brings_their_knee_in_towards_their_chest,23,False
215,0.4118,0.3488,0.1436,Someone_rolls_forward_and_gets_up,30,False
216,0.354,0.4059,0.1437,Someone_leans_down_to_touch_their_toes_and_stands_back_up,0,False
217,0.3542,0.4056,0.1437,A_person_pulls_their_knee_up_to_their_chest,41,False
218,0.3242,0.444,0.1439,Someone_leans_down_to_touch_their_toes_and_stands_back_up,98,False
219,0.4638,0.3108,0.1441,Someone_rolls_forward_and_gets_up,1,False
220,0.304,0.4744,0.1442,An_individual_raises_a_knee_towards_their_chest,54,False
221,0.457,0.3157,0.1443,An_individual_reaches_down_to_their_toes_and_stands_up_straight,97,False
222,0.3409,0.424,0.1445,An_individual_goes_down_to_touch_their_toes_and_then_stands_back_up,44,False
223,0.305,0.4742,0.1446,A_person_performs_a_clap,87,False
224,0.3548,0.4076,0.1446,A_person_lifts_their_knee_to_their_chest,14,False
225,0.3175,0.4562,0.1448,A_person_claps,55,False
226,0.3278,0.4421,0.1449,An_individual_touches_their_toes_and_returns_to_a_standing_position,41,False
227,0.3574,0.4056,0.1449,Someone_leans_down_to_touch_their_toes_and_stands_back_up,20,False
228,0.4139,0.3503,0.145,Someone_springs_up_off_the_ground,47,False
229,0.4691,0.3091,0.145,Someone_springs_up_off_the_ground,2,False
230,0.3901,0.3721,0.1451,An_individual_reaches_down_to_their_toes_and_stands_up_straight,98,False
231,0.3498,0.4159,0.1455,A_person_lifts_their_knee_to_their_chest,66,False
232,0.3181,0.4578,0.1456,A_person_raises_a_knee_to_their_chest,71,False
233,0.3754,0.3879,0.1456,Someone_springs_up_off_the_ground,68,False
234,0.3062,0.4757,0.1457,A_person_lifts_their_knee_to_their_chest,11,False
235,0.3076,0.4744,0.1459,An_individual_claps_in_celebration,27,False
236,0.3689,0.3959,0.146,Someone_rolls_forward_and_gets_up,54,False
237,0.2875,0.5083,0.1461,An_individual_tumbles_forward_and_then_gets_up,94,False
238,0.3654,0.3999,0.1461,Someone_rolls_in_a_forward_motion_and_stands_up,48,False
239,0.3947,0.371,0.1464,Someone_rolls_forward_and_gets_up,77,False
240,0.3037,0.4821,0.1464,A_person_raises_a_knee_to_their_chest,65,False
241,0.3229,0.4538,0.1465,A_person_raises_a_knee_to_their_chest,92,False
242,0.3705,0.3953,0.1465,A_person_lifts_their_knee_to_their_chest,37,False
243,0.2789,0.5253,0.1465,An_individual_claps_in_celebration,87,False
244,0.3974,0.3686,0.1465,Someone_rolls_forward_and_gets_up,69,False
245,0.3934,0.3728,0.1467,Someone_rolls_forward_and_gets_up,98,False
246,0.3622,0.405,0.1467,A_person_jumps_straight_up,63,False
247,0.3054,0.4802,0.1467,A_person_raises_a_knee_to_their_chest,45,False
248,0.3332,0.4407,0.1468,A_person_raises_a_knee_to_their_chest,83,False
249,0.4146,0.3542,0.1468,A_person_brings_their_knee_in_towards_their_chest,2,False
250,0.3102,0.4735,0.1469,A_person_raises_a_knee_to_their_chest,64,False
251,0.2952,0.4981,0.147,An_individual_raises_a_knee_towards_their_chest,62,False
252,0.2735,0.5375,0.147,An_individual_claps_in_celebration,47,False
253,0.343,0.4288,0.1471,A_person_pulls_their_knee_up_to_their_chest,72,False
254,0.3289,0.4474,0.1471,Someone_pushes_a_large_object,45,False
255,0.4131,0.3563,0.1472,Someone_executes_a_pirouette,65,False
256,0.3933,0.3743,0.1472,Someone_springs_up_off_the_ground,27,False
257,0.3151,0.4678,0.1474,A_person_raises_a_knee_to_their_chest,52,False
258,0.2953,0.4992,0.1474,An_individual_raises_a_knee_towards_their_chest,45,False
259,0.3045,0.4849,0.1477,A_person_raises_a_knee_to_their_chest,3,False
260,0.3847,0.3839,0.1477,A_person_lifts_their_knee_to_their_chest,22,False
261,0.2893,0.5107,0.1478,A_person_claps,62,False
262,0.3333,0.4435,0.1478,An_individual_lifts_a_knee_up_to_their_chest,52,False
263,0.4545,0.3253,0.1478,An_individual_reaches_down_to_their_toes_and_stands_up_straight,35,False
264,0.3836,0.3856,0.1479,Someone_springs_up_off_the_ground,8,False
265,0.4516,0.3286,0.1484,Someone_bends_down_to_touch_their_toes_and_then_stands_up,97,False
266,0.3655,0.406,0.1484,A_person_bends_their_leg_and_raises_their_knee_to_their_chest,82,False
267,0.3447,0.4307,0.1485,An_individual_goes_down_to_touch_their_toes_and_then_stands_back_up,6,False
268,0.425,0.3495,0.1485,An_individual_goes_down_to_touch_their_toes_and_then_stands_back_up,76,False
269,0.4838,0.3074,0.1487,An_individual_reaches_down_to_their_toes_and_stands_up_straight,72,False
270,0.291,0.5111,0.1487,An_individual_raises_a_knee_towards_their_chest,58,False
271,0.3084,0.4823,0.1487,An_individual_raises_a_knee_towards_their_chest,0,False
272,0.4168,0.3571,0.1488,An_individual_rolls_forward_and_quickly_gets_up,72,False
273,0.3631,0.4099,0.1488,An_individual_reaches_down_to_their_toes_and_stands_up_straight,25,False
274,0.3612,0.4121,0.1488,An_individual_tumbles_forward_and_then_gets_up,61,False
275,0.3256,0.4573,0.1489,A_person_raises_a_knee_to_their_chest,10,False
276,0.3473,0.4291,0.149,Someone_pushes_a_large_object,0,False
277,0.3424,0.4355,0.1491,A_person_stretches_to_touch_their_toes_and_then_rises,80,False
278,0.3511,0.4247,0.1491,An_individual_rolls_forward_and_rises,45,False
279,0.3357,0.4448,0.1493,An_individual_goes_down_to_touch_their_toes_and_then_stands_back_up,62,False
280,0.4099,0.3642,0.1493,Someone_rolls_forward_and_gets_up,81,False
281,0.3016,0.4948,0.1493,An_individual_raises_a_knee_towards_their_chest,49,False
282,0.3749,0.3983,0.1494,Someone_rolls_in_a_forward_motion_and_stands_up,90,False
283,0.3327,0.4495,0.1495,A_person_raises_a_knee_to_their_chest,27,False
284,0.3274,0.4571,0.1496,A_person_raises_a_knee_to_their_chest,11,False
285,0.4402,0.3398,0.1496,Someone_bends_down_to_touch_their_toes_and_then_stands_up,60,False
286,0.3272,0.4578,0.1498,A_person_raises_a_knee_to_their_chest,74,False
287,0.4166,0.3595,0.1498,Someone_springs_up_off_the_ground,7,False
288,0.2897,0.5176,0.1499,An_individual_raises_a_knee_towards_their_chest,50,False
289,0.3161,0.4742,0.1499,An_individual_claps_in_celebration,3,False
290,0.3993,0.3755,0.1499,A_person_brings_their_knee_in_towards_their_chest,21,False
291,0.3786,0.3962,0.15,Someone_rolls_forward_and_stands_up,40,False
292,0.3104,0.4833,0.15,An_individual_claps_in_celebration,65,False
293,0.3542,0.4234,0.15,A_person_raises_a_knee_to_their_chest,23,False
294,0.3158,0.475,0.15,An_individual_tumbles_forward_and_then_gets_up,63,False
295,0.3708,0.4048,0.1501,Someone_touches_their_toes_and_stands_back_up,65,False
296,0.4156,0.3614,0.1502,A_person_lifts_their_knee_to_their_chest,62,False
297,0.3739,0.4016,0.1502,A_person_rotates_in_a_pirouette,17,False
298,0.3545,0.424,0.1503,A_person_stretches_to_touch_their_toes_and_then_rises,27,False
299,0.3815,0.3944,0.1504,An_individual_goes_down_to_touch_their_toes_and_then_stands_back_up,16,False
300,0.3991,0.3768,0.1504,An_individual_goes_down_to_touch_their_toes_and_then_stands_back_up,96,False
301,0.3093,0.4868,0.1506,A_person_raises_a_knee_to_their_chest,68,False
302,0.3523,0.4276,0.1507,Someone_touches_their_toes_and_stands_back_up,51,False
303,0.4636,0.3252,0.1508,Someone_springs_up_off_the_ground,95,False
304,0.3468,0.435,0.1508,An_individual_lifts_a_knee_up_to_their_chest,28,False
305,0.3904,0.3862,0.1508,A_person_pulls_their_knee_up_to_their_chest,24,False
306,0.3673,0.4108,0.1509,Someone_moves_forward_by_rolling_and_then_stands,27,False
307,0.4617,0.3268,0.1509,A_person_pushes_an_object_that_is_hard_to_lift,76,False
308,0.3735,0.4039,0.1509,Someone_moves_forward_by_rolling_and_then_stands,7,False
309,0.3491,0.4326,0.151,A_person_claps,49,False
310,0.3452,0.4375,0.151,A_person_reaches_for_their_toes_and_gets_back_up,36,False
311,0.3754,0.4024,0.1511,Someone_springs_up_off_the_ground,94,False
312,0.3858,0.3918,0.1511,Someone_touches_their_toes_and_stands_back_up,72,False
313,0.439,0.3445,0.1512,A_person_brings_their_knee_in_towards_their_chest,5,False
314,0.4719,0.3203,0.1512,Someone_rolls_forward_and_gets_up,47,False
315,0.3767,0.4015,0.1512,An_individual_touches_their_toes_and_returns_to_a_standing_position,69,False
316,0.3594,0.4209,0.1513,Someone_moves_forward_by_rolling_and_then_stands,74,False
317,0.3539,0.4276,0.1513,Someone_elevates_their_knee_to_their_chest,42,False
318,0.3171,0.4774,0.1514,A_person_goes_up_into_the_air,79,False
319,0.2937,0.5156,0.1514,An_individual_raises_a_knee_towards_their_chest,65,False
320,0.2894,0.5232,0.1514,An_individual_raises_a_knee_towards_their_chest,27,False
321,0.3541,0.428,0.1515,An_individual_brings_their_knee_close_to_their_chest,79,False
322,0.4601,0.3293,0.1515,Someone_bends_down_to_touch_their_toes_and_then_stands_up,64,False
323,0.5142,0.2948,0.1516,A_person_brings_their_knee_in_towards_their_chest,39,False
324,0.3342,0.4539,0.1517,Someone_touches_their_toes_and_stands_back_up,52,False
325,0.297,0.5109,0.1517,An_individual_raises_a_knee_towards_their_chest,86,False
326,0.393,0.3859,0.1517,Someone_moves_forward_by_rolling_and_then_stands,1,False
327,0.3309,0.4584,0.1517,A_person_performs_a_clap,44,False
328,0.3519,0.4314,0.1518,A_person_goes_up_into_the_air,15,False
329,0.4216,0.36,0.1518,A_person_lifts_their_knee_to_their_chest,31,False
330,0.3558,0.4271,0.1519,Someone_pushes_off_the_ground_and_rises,46,False
331,0.3968,0.3827,0.1519,A_person_pulls_their_knee_up_to_their_chest,47,False
332,0.3047,0.4987,0.152,A_person_raises_a_knee_to_their_chest,39,False
333,0.3011,0.5048,0.152,An_individual_raises_a_knee_towards_their_chest,94,False
334,0.39,0.3897,0.152,Someone_springs_up_off_the_ground,40,False
